currency,observation_date,yield_2y_pct,unit,source_url
GBP,2024-02-14,4.315221,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-15,4.302245,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-16,4.362561,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-19,4.361359,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-20,4.292624,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-21,4.339278,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-22,4.325822,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-23,4.280387,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-26,4.316835,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-27,4.361178,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-28,4.378106,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-02-29,4.324702,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-01,4.303676,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-04,4.360423,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-05,4.311956,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-06,4.297217,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-07,4.328681,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-08,4.285108,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-11,4.254452,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-12,4.226689,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-13,4.271176,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-14,4.312234,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-15,4.330450,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-18,4.304334,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-19,4.262607,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-20,4.239111,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-21,4.180695,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-22,4.140088,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-25,4.192227,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-26,4.192803,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-27,4.167156,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-03-28,4.169571,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-02,4.245285,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-03,4.236726,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-04,4.196221,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-05,4.246639,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-08,4.260847,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-09,4.222608,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-10,4.347335,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-11,4.428541,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-12,4.359670,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-15,4.427517,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-16,4.491144,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-17,4.499670,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-18,4.477682,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-19,4.423572,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-22,4.343895,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-23,4.394206,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-24,4.470739,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-25,4.506219,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-26,4.500426,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-29,4.465413,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-04-30,4.533170,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-01,4.542362,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-02,4.465468,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-03,4.400496,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-07,4.342804,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-08,4.333470,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-09,4.297340,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-10,4.334039,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-13,4.339006,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-14,4.338067,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-15,4.261219,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-16,4.267622,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-17,4.324134,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-20,4.354005,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-21,4.332091,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-22,4.455421,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-23,4.522475,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-24,4.510306,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-28,4.509136,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-29,4.578423,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-30,4.524510,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-05-31,4.472636,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-03,4.429544,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-04,4.422139,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-05,4.431156,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-06,4.386370,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-07,4.449007,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-10,4.484884,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-11,4.432431,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-12,4.330332,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-13,4.350439,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-14,4.279424,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-17,4.315449,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-18,4.266049,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-19,4.285698,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-20,4.238465,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-21,4.252971,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-24,4.271592,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-25,4.270041,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-26,4.327835,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-27,4.324076,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-06-28,4.329072,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-01,4.362692,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-02,4.359908,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-03,4.308779,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-04,4.336982,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-05,4.277988,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-08,4.267358,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-09,4.291319,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-10,4.275580,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-11,4.216767,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-12,4.229851,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-15,4.211751,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-16,4.177392,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-17,4.206090,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-18,4.160491,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-19,4.192847,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-22,4.232702,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-23,4.220354,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-24,4.167606,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-25,4.137120,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-26,4.118885,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-29,4.077926,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-30,4.074911,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-07-31,4.024811,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-01,3.924872,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-02,3.849842,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-05,3.836723,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-06,3.892855,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-07,3.909030,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-08,3.904282,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-09,3.899274,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-12,3.903385,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-13,3.853016,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-14,3.814132,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-15,3.907623,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-16,3.935175,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-19,3.969619,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-20,3.945452,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-21,3.929068,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-22,3.978322,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-23,3.928210,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-27,3.968484,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-28,3.974868,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-29,3.975253,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-08-30,3.956992,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-02,3.973632,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-03,3.942818,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-04,3.885196,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-05,3.871921,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-06,3.815298,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-09,3.755712,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-10,3.747489,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-11,3.659727,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-12,3.702182,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-13,3.684432,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-16,3.661032,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-17,3.698162,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-18,3.768577,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-19,3.785665,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-20,3.803804,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-23,3.798374,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-24,3.775438,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-25,3.819290,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-26,3.794238,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-27,3.803897,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-09-30,3.845249,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-01,3.815461,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-02,3.873433,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-03,3.807048,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-04,3.963122,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-07,4.032203,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-08,3.999669,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-09,3.996570,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-10,3.995209,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-11,3.975524,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-14,3.965947,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-15,3.916087,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-16,3.798278,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-17,3.827903,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-18,3.800024,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-21,3.835341,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-22,3.862068,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-23,3.884624,percent,https://www.bankofengland.co.uk/statistics/yield-curves
GBP,2024-10-24,3.906813,percent,https://www.bankofengland.co.uk/statistics/yield-curves
