event_id,currency,pillar,indicator,reference_period,available_at_utc,value,unit,source_url
gbp-regular_earnings_yoy-2024-02_to_2024-04,GBP,labor,regular_earnings_yoy,2024-02/2024-04,2024-06-11T06:00:00Z,6.0,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/june2024
usd-core_cpi_yoy-2024-05,USD,inflation,core_cpi_yoy,2024-05,2024-06-12T12:30:00Z,3.4,percent_yoy,https://www.bls.gov/news.release/archives/cpi_06122024.htm
usd-headline_cpi_yoy-2024-05,USD,inflation,headline_cpi_yoy,2024-05,2024-06-12T12:30:00Z,3.3,percent_yoy,https://www.bls.gov/news.release/archives/cpi_06122024.htm
gbp-core_cpi_yoy-2024-05,GBP,inflation,core_cpi_yoy,2024-05,2024-06-19T06:00:00Z,3.5,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/may2024
gbp-headline_cpi_yoy-2024-05,GBP,inflation,headline_cpi_yoy,2024-05,2024-06-19T06:00:00Z,2.0,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/may2024
usd-average_hourly_earnings_yoy-2024-06,USD,labor,average_hourly_earnings_yoy,2024-06,2024-07-05T12:30:00Z,3.9,percent_yoy,https://www.bls.gov/news.release/archives/empsit_07052024.htm
usd-core_cpi_yoy-2024-06,USD,inflation,core_cpi_yoy,2024-06,2024-07-11T12:30:00Z,3.3,percent_yoy,https://www.bls.gov/news.release/archives/cpi_07112024.htm
usd-headline_cpi_yoy-2024-06,USD,inflation,headline_cpi_yoy,2024-06,2024-07-11T12:30:00Z,3.0,percent_yoy,https://www.bls.gov/news.release/archives/cpi_07112024.htm
gbp-core_cpi_yoy-2024-06,GBP,inflation,core_cpi_yoy,2024-06,2024-07-17T06:00:00Z,3.5,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/june2024
gbp-headline_cpi_yoy-2024-06,GBP,inflation,headline_cpi_yoy,2024-06,2024-07-17T06:00:00Z,2.0,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/june2024
gbp-regular_earnings_yoy-2024-03_to_2024-05,GBP,labor,regular_earnings_yoy,2024-03/2024-05,2024-07-18T06:00:00Z,5.7,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/july2024
usd-average_hourly_earnings_yoy-2024-07,USD,labor,average_hourly_earnings_yoy,2024-07,2024-08-02T12:30:00Z,3.6,percent_yoy,https://www.bls.gov/news.release/archives/empsit_08022024.htm
gbp-regular_earnings_yoy-2024-04_to_2024-06,GBP,labor,regular_earnings_yoy,2024-04/2024-06,2024-08-13T06:00:00Z,5.4,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/august2024
gbp-core_cpi_yoy-2024-07,GBP,inflation,core_cpi_yoy,2024-07,2024-08-14T06:00:00Z,3.3,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/july2024
gbp-headline_cpi_yoy-2024-07,GBP,inflation,headline_cpi_yoy,2024-07,2024-08-14T06:00:00Z,2.2,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/july2024
usd-core_cpi_yoy-2024-07,USD,inflation,core_cpi_yoy,2024-07,2024-08-14T12:30:00Z,3.2,percent_yoy,https://www.bls.gov/news.release/archives/cpi_08142024.htm
usd-headline_cpi_yoy-2024-07,USD,inflation,headline_cpi_yoy,2024-07,2024-08-14T12:30:00Z,2.9,percent_yoy,https://www.bls.gov/news.release/archives/cpi_08142024.htm
usd-average_hourly_earnings_yoy-2024-08,USD,labor,average_hourly_earnings_yoy,2024-08,2024-09-06T12:30:00Z,3.8,percent_yoy,https://www.bls.gov/news.release/archives/empsit_09062024.htm
gbp-regular_earnings_yoy-2024-05_to_2024-07,GBP,labor,regular_earnings_yoy,2024-05/2024-07,2024-09-10T06:00:00Z,5.1,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/september2024
usd-core_cpi_yoy-2024-08,USD,inflation,core_cpi_yoy,2024-08,2024-09-11T12:30:00Z,3.2,percent_yoy,https://www.bls.gov/news.release/archives/cpi_09112024.htm
usd-headline_cpi_yoy-2024-08,USD,inflation,headline_cpi_yoy,2024-08,2024-09-11T12:30:00Z,2.5,percent_yoy,https://www.bls.gov/news.release/archives/cpi_09112024.htm
gbp-core_cpi_yoy-2024-08,GBP,inflation,core_cpi_yoy,2024-08,2024-09-18T06:00:00Z,3.6,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/august2024
gbp-headline_cpi_yoy-2024-08,GBP,inflation,headline_cpi_yoy,2024-08,2024-09-18T06:00:00Z,2.2,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/august2024
usd-average_hourly_earnings_yoy-2024-09,USD,labor,average_hourly_earnings_yoy,2024-09,2024-10-04T12:30:00Z,4.0,percent_yoy,https://www.bls.gov/news.release/archives/empsit_10042024.htm
usd-core_cpi_yoy-2024-09,USD,inflation,core_cpi_yoy,2024-09,2024-10-10T12:30:00Z,3.3,percent_yoy,https://www.bls.gov/news.release/archives/cpi_10102024.htm
usd-headline_cpi_yoy-2024-09,USD,inflation,headline_cpi_yoy,2024-09,2024-10-10T12:30:00Z,2.4,percent_yoy,https://www.bls.gov/news.release/archives/cpi_10102024.htm
gbp-regular_earnings_yoy-2024-06_to_2024-08,GBP,labor,regular_earnings_yoy,2024-06/2024-08,2024-10-15T06:00:00Z,4.9,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/october2024
gbp-core_cpi_yoy-2024-09,GBP,inflation,core_cpi_yoy,2024-09,2024-10-16T06:00:00Z,3.2,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/september2024
gbp-headline_cpi_yoy-2024-09,GBP,inflation,headline_cpi_yoy,2024-09,2024-10-16T06:00:00Z,1.7,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/september2024
usd-average_hourly_earnings_yoy-2024-10,USD,labor,average_hourly_earnings_yoy,2024-10,2024-11-01T12:30:00Z,4.0,percent_yoy,https://www.bls.gov/news.release/archives/empsit_11012024.htm
gbp-regular_earnings_yoy-2024-07_to_2024-09,GBP,labor,regular_earnings_yoy,2024-07/2024-09,2024-11-12T07:00:00Z,4.8,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/november2024
usd-core_cpi_yoy-2024-10,USD,inflation,core_cpi_yoy,2024-10,2024-11-13T13:30:00Z,3.3,percent_yoy,https://www.bls.gov/news.release/archives/cpi_11132024.htm
usd-headline_cpi_yoy-2024-10,USD,inflation,headline_cpi_yoy,2024-10,2024-11-13T13:30:00Z,2.6,percent_yoy,https://www.bls.gov/news.release/archives/cpi_11132024.htm
gbp-core_cpi_yoy-2024-10,GBP,inflation,core_cpi_yoy,2024-10,2024-11-20T07:00:00Z,3.3,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/october2024
gbp-headline_cpi_yoy-2024-10,GBP,inflation,headline_cpi_yoy,2024-10,2024-11-20T07:00:00Z,2.3,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/october2024
usd-average_hourly_earnings_yoy-2024-11,USD,labor,average_hourly_earnings_yoy,2024-11,2024-12-06T13:30:00Z,4.0,percent_yoy,https://www.bls.gov/news.release/archives/empsit_12062024.htm
usd-core_cpi_yoy-2024-11,USD,inflation,core_cpi_yoy,2024-11,2024-12-11T13:30:00Z,3.3,percent_yoy,https://www.bls.gov/news.release/archives/cpi_12112024.htm
usd-headline_cpi_yoy-2024-11,USD,inflation,headline_cpi_yoy,2024-11,2024-12-11T13:30:00Z,2.7,percent_yoy,https://www.bls.gov/news.release/archives/cpi_12112024.htm
gbp-regular_earnings_yoy-2024-08_to_2024-10,GBP,labor,regular_earnings_yoy,2024-08/2024-10,2024-12-17T07:00:00Z,5.2,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/december2024
gbp-core_cpi_yoy-2024-11,GBP,inflation,core_cpi_yoy,2024-11,2024-12-18T07:00:00Z,3.5,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/november2024
gbp-headline_cpi_yoy-2024-11,GBP,inflation,headline_cpi_yoy,2024-11,2024-12-18T07:00:00Z,2.6,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/november2024
